dátum;leves;főétel;köret
2021.10.26;;fokhagymás sertésszelet;bulgur
2021.10.27;;rakott kelkáposzta;
2021.10.28;frankfurti leves;túrós tészta;
2021.10.29;frankfurti leves;;kakaós csiga
2021.10.30;;dübarry sertésszelet;krumplipüré
2021.10.31;palócleves;palacsinta;
2021.11.01;palócleves;palacsinta;
2021.11.02;;sertéspörkölt;orsó tészta
2021.11.03;;lencsefőzelék;
2021.11.04;;hentes tokány;rizs
2021.11.05;;rántott karfiol;rizs
2021.11.06;;rántott karfiol;
2021.11.07;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2021.11.08;;sült kacsacomb párolt lilakáposztával;hagymás tört krumpli
2021.11.09;;paprikás krumplis nokedli;
2021.11.10;;rántotta;
2021.11.11;lebbencsleves;kelkáposzta főzelék;
2021.11.12;lebbencsleves;kelkáposzta főzelék;
2021.11.13;;zöldséges fetás csirke;
2021.11.14;;zöldséges fetás csirke;
2021.11.15;;rántott sajt;rizs
2021.11.16;;lazac roston;krumplipüré
2021.11.17;;túrós tészta;
2021.11.18;;sólet;
2021.11.19;;sólet;
2021.11.20;gulyásleves;;
2021.11.21;;vadragus pite;
2021.11.22;gulyásleves;hortobágyi húsos palacsinta;
2021.11.23;;rakott krumpli;
2021.11.24;;rakott krumpli;
2021.11.25;;sült tarja párolt káposztával;sült krumpli
2021.11.26;;sült tarja párolt káposztával;sült krumpli
2021.11.27;;lazac roston;bulgur
2021.11.28;;lazac roston;bulgur
2021.11.29;;túrós tészta;
2021.11.30;;káposztás tészta;
2021.12.01;;sertésszűz budapest módra;rizs
2021.12.02;;sertésszűz budapest módra;rizs
2021.12.03;hegyigulyás;rántott máj;rizs
2021.12.04;;tejszínes gombás brokkolis csirkemell;penne
2021.12.05;;tejszínes gombás brokkolis csirkemell;penne
2021.12.06;;tyúkpörkölt;nokedli
2021.12.07;;tyúkpörkölt;nokedli
2021.12.08;frankfurti leves;;
2021.12.09;frankfurti leves;;
2021.12.10;;harasztos káposzta;
2021.12.11;;harasztos káposzta;
2021.12.12;;harasztos káposzta;
2021.12.13;;rakott karfiol;
2021.12.14;;harasztok káposzta;
2021.12.15;;;
2021.12.16;gombaleves;;
2021.12.17;;;
2021.12.18;;;
2021.12.19;;gyümölcsös csirkemell;gesztenyés krokett
2021.12.20;;gyümölcsös csirkemell;gesztenyés krokett
2021.12.21;;borsópörkölt;
2021.12.22;;krumplis tészta;
2021.12.23;;fasírozott;krumplipüré
2021.12.24;halászlé;fatányéros;
2021.12.25;;;
2021.12.26;;;
2021.12.27;;;
2021.12.28;;;
2021.12.29;;zöldséges fetás csirke;
2021.12.30;korhelyleves;zöldséges fetás csirke;
2021.12.31;korhelyleves;bakonyi sertésszelet;
